name,address,city,state,lat,lng,type,isPublic,phone,website,amenities,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun
Grossinger Motors Arena,101 S Madison St,Bloomington,IL,40.4792,-88.9972,Indoor,True,(309) 434-2843,https://www.grossingermotorsarena.com,"Multi-purpose Arena, 1 NHL Sheet, Concessions, Luxury Suites",Varies,Varies,Varies,Varies,Varies,Varies,Varies
David S. Palmer Arena,100 N Vermilion St,Danville,IL,40.1245,-87.6304,Indoor,True,(217) 443-4241,https://www.palmerarena.com,"1 Sheet, Concessions, Skate Rental, Event Space",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Hoffman Estates Ice Arena,1685 W Higgins Rd,Hoffman Estates,IL,42.0416,-88.1362,Indoor,True,(847) 885-7500,https://www.heparks.org,"1 NHL Sheet, Pro Shop, Concessions, Room Rentals",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Mount Prospect Ice Arena,1501 Industrial Dr,Mount Prospect,IL,42.0559,-87.9421,Indoor,True,(224) 443-4370,https://www.mpicearena.com,"2 NHL Sheets, Pro Shop, Bricks Wood Fired Pizza, Training Center",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Addison Ice Arena,475 S Grace St,Addison,IL,41.9248,-87.9942,Indoor,True,(630) 543-9200,https://www.addisonice.com,"1 NHL Sheet, 1 Olympic Sheet, Pro Shop, Concessions, Fitness Center",Varies,Varies,Varies,Varies,Varies,Varies,Varies
The Pettit National Ice Center,500 S 84th St,Milwaukee,WI,43.0252,-87.9944,Indoor,true,(414) 266-0100,https://thepettit.com,"Official US Olympic Training Site, 2 NHL Rinks, Run/Walk Track",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Bob Suter's Capitol Ice Arena,2616 Pleasant View Rd,Middleton,WI,43.0975,-89.5255,Indoor,true,(608) 836-1036,https://www.capitolicearena.com,"Home of Madison Capitols (USHL), Pro Shop, Concessions, Beer Garage",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Ozaukee Ice Center,5505 Pioneer Rd,Mequon,WI,43.3220,-87.9710,Indoor,true,(262) 375-6851,https://www.ozaukeeicecenter.org,"2 Rinks, Pro Shop, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Cornerstone Community Ice Center,1642 Fernando Dr,De Pere,WI,44.4491,-88.0832,Indoor,true,(920) 403-2000,https://www.cornerstoneicecenter.org,"3 Sheets (1 Olympic, 2 NHL), Pro Shop, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Kohl Center,601 W Dayton St,Madison,WI,43.0692,-89.3986,Indoor,true,(608) 262-1440,https://uwbadgers.com,"Home of Wisconsin Badgers (NCAA), Multi-purpose Arena, Premium Seating",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Community Ice Center (Siren Arena),24165 State Rd 35,Siren,WI,45.7876,-92.3811,Indoor,true,(715) 349-1111,https://www.sirenhockey.com,"1 Sheet, Community Concessions, Rental Center",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Fond du Lac Blue Line Family Ice Center,550 Fond Du Lac Ave,Fond du Lac,WI,43.7684,-88.4344,Indoor,true,(920) 923-3742,https://www.fdlblueline.com,"3 Indoor Sheets, Pro Shop, Skate Rental, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Champion Center,5000 W Champion Dr,Grand Chute,WI,44.2581,-88.4812,Indoor,true,(920) 750-7080,https://championcenterwi.com,"Multi-sport facility, 1 NHL Sheet, 1 Seasonal Sheet, Event Space",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Appleton Ice Arena,1717 E Witzke Blvd,Appleton,WI,44.2819,-88.3815,Indoor,true,(920) 830-7679,https://www.appletonice.org,"1 Sheet, Skate Rental, Concessions, Meeting Rooms",Varies,Varies,Varies,Varies,Varies,Varies,Varies
KB Willett Ice Arena,1000 Minnesota Ave,Stevens Point,WI,44.5292,-89.5604,Indoor,true,(715) 346-1576,https://www.stevenspoint.com,"1 Olympic Size Sheet, Seating for 1800, Skate Rental, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Mosinee Recreation Center,701 11th St,Mosinee,WI,44.7925,-89.7112,Indoor,true,(715) 693-3652,http://www.mosineehockey.com,"1 Sheet, Historic Indoor Barn, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
South Suburbs Ice Arena,2301 17th Ave,South Milwaukee,WI,42.9112,-87.8715,Indoor,true,(414) 768-8000,https://www.smislands.com,"1 Sheet, Youth Team Home, Skate Rental",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Janesville Ice Arena,821 Beloit Ave,Janesville,WI,42.6655,-89.0118,Indoor,true,(608) 755-3015,https://www.janesvillewi.gov,"1 Sheet, Skate Rental, Concessions, Home of Janesville Jets (NAHL)",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Rec Center Ice Rink,401 East Ave,Waukesha,WI,43.0081,-88.2254,Indoor,true,(262) 524-3737,https://www.waukesha-wi.gov,"1 Sheet, Skate Rental, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Wildcat Centre,701 Wildcat Way,River Falls,WI,44.8566,-92.6124,Indoor,true,(715) 426-1412,http://www.rfhockey.com,"1 Sheet, Community Hockey Hub, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
